Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos.
Estación : GUEPPI
Departamento :,LORETO,Provincia :,PUTUMAYO,Distrito :,TENIENTE MANUEL CLAVERO
Latitud :,0°7'1.92'',Longitud :,75°15'1.08'',Altitud :,199 msnm.
Tipo :,EMA - Meteorológica,Código :,101004
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2024/02/01,00:00,25.6,0.0,93,S/D,0.0
2024/02/01,01:00,25.4,0.0,93,194,0.2
2024/02/01,02:00,25.1,0.0,94,189,0.2
2024/02/01,03:00,24.6,0.0,94,S/D,0.0
2024/02/01,04:00,24.5,0.0,95,S/D,0.0
2024/02/01,05:00,24.7,0.0,95,196,0.1
2024/02/01,06:00,24.6,0.0,96,197,1.0
2024/02/01,07:00,24.6,0.0,96,219,0.4
2024/02/01,08:00,25.2,0.0,95,229,0.9
2024/02/01,09:00,26.1,0.0,92,224,1.4
2024/02/01,10:00,26.9,0.0,90,198,1.8
2024/02/01,11:00,28.2,0.0,86,213,1.2
2024/02/01,12:00,29.1,0.0,82,218,0.9
2024/02/01,13:00,30.3,0.0,77,252,0.9
2024/02/01,14:00,30.8,0.0,73,196,1.9
2024/02/01,15:00,30.5,0.0,73,194,1.5
2024/02/01,16:00,31.5,0.0,69,250,0.7
2024/02/01,17:00,29.7,0.0,76,334,0.6
2024/02/01,18:00,29.1,0.0,81,287,1.2
2024/02/01,19:00,27.7,0.2,82,234,1.3
2024/02/01,20:00,26.8,0.0,87,280,0.5
2024/02/01,21:00,26.2,0.0,89,189,0.6
2024/02/01,22:00,25.9,0.0,91,264,0.0
2024/02/02,00:00,25.3,0.0,93,S/D,0.0
2024/02/02,01:00,25.2,0.0,94,203,0.0
2024/02/02,02:00,25.1,0.0,95,S/D,0.0
2024/02/02,03:00,24.7,0.0,95,217,0.2
2024/02/02,04:00,24.5,0.0,96,214,0.3
2024/02/02,05:00,24.4,0.0,96,167,0.2
2024/02/02,06:00,24.3,0.0,96,165,0.4
2024/02/02,07:00,24.8,0.0,96,304,0.2
2024/02/02,08:00,25.2,0.0,96,4,0.1
2024/02/02,09:00,25.6,0.1,95,314,0.6
2024/02/02,10:00,25.4,6.7,95,208,0.5
2024/02/02,11:00,24.4,11.4,97,265,0.4
2024/02/02,12:00,24.4,0.0,97,82,0.7
2024/02/02,13:00,24.7,0.1,97,40,0.7
2024/02/02,14:00,25.0,0.0,97,21,1.5
2024/02/02,15:00,25.2,0.0,96,15,1.6
2024/02/02,16:00,25.3,0.0,95,4,1.7
2024/02/02,17:00,25.1,0.1,94,6,1.4
2024/02/02,18:00,25.0,0.4,95,346,1.8
2024/02/02,19:00,24.7,0.0,95,356,1.3
2024/02/02,21:00,24.0,0.0,96,21,0.7
2024/02/02,23:00,23.6,0.0,96,3,0.1
2024/02/03,00:00,23.4,0.0,97,20,0.1
2024/02/03,01:00,23.1,0.0,97,67,0.1
2024/02/03,02:00,22.9,0.0,98,111,0.5
2024/02/03,03:00,23.1,0.0,98,215,0.2
