Estación : GUEPPI
Departamento :,LORETO,Provincia :,PUTUMAYO,Distrito :,TENIENTE MANUEL CLAVERO
Latitud :,0°7'1.92'',Longitud :,75°15'1.08'',Altitud :,199 msnm.
Tipo :,EMA - Meteorológica,Código :,101004
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2024/05/01,00:00,25.2,0.0,95,89,0.6
2024/05/01,01:00,25.1,0.0,95,134,0.2
2024/05/01,02:00,25.0,0.0,96,210,0.2
2024/05/01,03:00,24.9,0.0,96,224,0.0
2024/05/01,04:00,24.8,0.0,97,S/D,0.0
2024/05/01,05:00,24.7,0.0,97,S/D,0.0
2024/05/01,06:00,24.6,0.0,97,S/D,0.0
2024/05/01,07:00,24.8,0.0,97,48,1.0
2024/05/01,08:00,25.8,0.0,96,30,0.9
2024/05/01,09:00,26.1,0.0,94,38,2.3
2024/05/01,10:00,26.6,0.0,91,40,1.9
2024/05/01,11:00,27.3,0.0,88,40,2.0
2024/05/01,12:00,28.7,0.0,84,35,1.9
2024/05/01,13:00,30.0,0.0,80,25,1.4
2024/05/01,14:00,30.5,0.0,78,328,1.5
2024/05/01,15:00,29.4,0.0,79,317,1.8
2024/05/01,16:00,26.5,2.9,86,315,2.1
2024/05/01,17:00,25.3,0.2,90,275,1.2
2024/05/01,18:00,24.9,0.0,92,210,0.2
2024/05/01,19:00,24.7,0.0,93,190,0.1
2024/05/01,20:00,24.5,0.0,94,200,0.3
2024/05/01,21:00,24.3,0.0,95,S/D,0.0
2024/05/01,22:00,24.1,0.0
